film-item-rating-position__position,selection-film-item-poster__rating,selection-film-item-meta__name,rating__value,rating__count
213,7.8,Пленницы,8.0,205 963
214,7.9,Бесподобный мистер Фокс,8.0,74 570
215,8.0,Брестская крепость,8.0,118 294
216,7.9,Бойфренд из будущего,8.0,158 839
217,7.9,Гангстер,8.0,127 422
218,8.0,Чужие,8.0,183 667
219,8.3,Римские каникулы,8.0,109 314
220,8.1,Чужой,8.0,219 440
221,8.2,Привидение,8.0,228 962
222,7.9,Рапунцель: Запутанная история,8.0,336 362
223,8.1,Бешеные псы,8.0,236 744
224,8.0,Маска,8.0,297 877
225,8.2,Лицо со шрамом,8.0,182 786
226,7.9,Маленький принц,8.0,60 171
227,8.0,Гаттака,8.0,150 470
228,8.2,Небесный замок Лапута,8.0,56 094
229,8.1,Восточный ветер,8.0,53 006
230,7.8,Старикам тут не место,8.0,170 007
231,8.0,Паразиты,8.0,276 989
232,8.1,Жизнь Дэвида Гейла,8.0,163 020
233,8.0,Город бога,8.0,122 749
234,7.8,Доспехи Бога,8.0,75 939
235,8.1,Казино,8.0,130 824
236,8.2,Как приручить дракона,8.0,440 486
237,8.0,Области тьмы,8.0,554 510
238,7.7,Скрытые фигуры,8.0,80 054
239,7.9,Гнев,8.0,151 974
240,7.9,Великий Гэтсби,8.0,363 951
241,8.0,Работа без авторства,8.0,74 060
242,8.2,Золотой телёнок,8.0,97 575
243,7.6,Моана,8.0,280 907
244,8.0,Красотка,8.0,226 113
245,7.9,Догвилль,8.0,123 605
246,7.7,Марсианин,8.0,424 314
247,7.9,Радио,8.0,21 625
248,8.0,Ведьмина служба доставки,8.0,71 204
249,7.8,Константин: Повелитель тьмы,8.0,350 411
250,8.2,Капернаум,8.0,128 685
